sample_name,breadth_classI,breadth_classII,depth_classI,depth_classII
03855000013539_TCRB,3.2189626161387083e-05,5.560026336966859e-05,0.51158905,3.2261848
03855000013540_TCRB,1.7254543336942408e-05,0.00012078180335859686,-14.3706455,8.7240925
03855000013564_TCRB,0.0001778854973289381,0.0003474326119705822,99.119934,103.9268
03855000013566_TCRB,2.021002255438517e-05,4.4462049619647376e-05,-13.6418705,-8.226833
03855000013567_TCRB,2.8756014799762284e-05,0.00014617640856545827,-7.617094,50.46135
03855000013570_TCRB,0.00027148722023573037,0.00016554098794861608,29.682795,9.43605
03855000013577_TCRB,1.6295491580662683e-05,4.888647474198805e-05,-14.865274,-6.8652744
03855000013581_TCRB,3.032650619349965e-05,4.411128173599949e-05,-7.317768,-2.1478443
03855000013582_TCRB,2.103542365343238e-05,3.906578678494585e-05,-11.624207,-5.0392437
03855000013601_TCRB,7.473525037554463e-06,5.9788200300435706e-05,-16.168058,4.341715
03855000013603_TCRB,1.6435170442989476e-05,4.314232241284737e-05,-10.980516,1.8674812
03855000013606_TCRB,2.506524797363136e-05,2.506524797363136e-05,-9.780307,-9.780307
03855000013609_TCRB,2.41693011204888e-05,2.41693011204888e-05,-12.79093,-13.375893
03855000013613_TCRB,1.7276148235634097e-05,5.02578857763901e-05,-9.622494,14.547432
03855000013617_TCRB,7.856585881322341e-06,3.928292940661171e-05,-15.3218,3.4855537
03855000013620_TCRB,3.625602189863723e-05,0.00015408809306920822,-4.4760113,16.208849
03855000013622_TCRB,3.315943054204616e-05,8.842514811212309e-05,-12.860821,-0.5209713
03855000013624_TCRB,0.00010332138514238482,0.00011921698285659787,-3.9513454,13.557518
03855000013630_TCRB,2.0897331410778845e-05,4.776532893892307e-05,-12.726767,-3.556841
03855000013635_TCRB,1.3361481521071056e-05,3.340370380267764e-05,-12.784153,-3.1991901
03855000013636_TCRB,3.8882574624633607e-05,4.187354190345158e-05,-4.5628967,-3.8848257
03855000013645_TCRB,2.5545901727754487e-05,6.528397108203925e-05,-10.129652,7.9471626
03855000013647_TCRB,2.1167285053780025e-05,0.00022376844199710312,-11.379705,58.297157
03855000013651_TCRB,2.7626026479546382e-05,4.143903971931957e-05,-15.004135,-12.419172
